full_id,osm_id,osm_type,admin_level,boundary,natural,highway,lanes,maxspeed,name,oneway,surface,tiger:cfcc,tiger:county,tiger:reviewed,cycleway:both,name_1,tiger:name_base,tiger:name_base_1,tiger:name_direction_suffix,destination,destination:ref,ref,tiger:name_direction_prefix,tiger:name_direction_prefix_1,bicycle,cycleway,name:etymology:wikidata,old_name,tiger:name_type,lanes:backward,sidewalk,trolley_wire,alt_name,bridge,layer,name_2,old_ref,hov:lanes:backward,lanes:forward,tiger:name_direction_suffix_1,turn:lanes:backward,turn:lanes:forward,hov:lanes:forward,waterway,cycleway:left,cycleway:right,horse,motor_vehicle,lanes:both_ways,turn:lanes:both_ways,name:left,name:right,junction,centre_turn_lane,is_in,turn:lanes,border_type,lit,tunnel
w376321986,"376321986",way,"6",administrative,,,,,Meadow Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stream,,,,,,,,,,,,,,,
w376779001,"376779001",way,,,,primary,"2",40 mph,148th Avenue Northeast,yes,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w377780199,"377780199",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w377780200,"377780200",way,,,,residential,,,Holmes Point Drive Northeast,,,A41,"King, WA",yes,,,Holmes Point,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w377780201,"377780201",way,,,,secondary,"4",35 mph,Juanita Drive Northeast,no,asphalt,,,,,Juanita Drive Northeast,,,,,,,,,,,,,,"2",,,,,,,,,"2",,,|right,,,,lane,,,,,,,,,,,,,
w377780203,"377780203",way,,,,secondary,"2",35 mph,Juanita Drive Northeast,no,asphalt,,,,,Juanita Drive Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lane,,,,,,,,,,,,,
w380141890,"380141890",way,,,,tertiary,"2",35 mph,224th Avenue Southeast,,asphalt,A41,"King, WA",yes,,,224th,,SE,,,,,,,,,,Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w380141891,"380141891",way,,,,tertiary,"2",35 mph,224th Avenue Southeast,,asphalt,A41,"King, WA",no,,,224th,,SE,,,,,,,,,,Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w380141895,"380141895",way,,,,tertiary,"2",35 mph,228th Avenue Southeast,,asphalt,A41,"King, WA",yes,,,228th,,SE,,,,,,,,,,Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w380141896,"380141896",way,,,,tertiary,"2",45 mph,Lake Sawyer Road Southeast,,asphalt,A41,"King, WA",yes,,,Lake Sawyer,,SE,,,,,,,,,,Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w382618025,"382618025",way,,,,secondary,,,55th Avenue Northeast,,,A41,"King, WA",,,,55th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w393273759,"393273759",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w393311982,"393311982",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w393465509,"393465509",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w393465510,"393465510",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w395344169,"395344169",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w395344170,"395344170",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w396452860,"396452860",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w399732866,"399732866",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w402083658,"402083658",way,,,,primary,"4",40 mph,148th Avenue Northeast,yes,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left|||right,,,
w402799843,"402799843",way,,,,primary,"6",45 mph,International Boulevard,,asphalt,,,,,,,,,,,WA 99,,,,,,,,"2",,,,,,,"WA 99 (Old US 99;PSH 1)",,"4",,,left|||right,,,,,,,,,,,,,,,,,
w408280399,"408280399",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w408280407,"408280407",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w408280413,"408280413",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w408280414,"408280414",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w408280416,"408280416",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w408291504,"408291504",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w408291532,"408291532",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w408291551,"408291551",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w408291570,"408291570",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w408291574,"408291574",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w408437133,"408437133",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408437134,"408437134",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408437135,"408437135",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408437136,"408437136",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408437137,"408437137",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408437138,"408437138",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408437139,"408437139",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408437143,"408437143",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408437150,"408437150",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408442924,"408442924",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408442925,"408442925",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w408442935,"408442935",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,county,,
w422104748,"422104748",way,"8",administrative,coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w427893536,"427893536",way,,,,primary,"5",35 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",yes,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,"2",both,,,,,,,,"3",,,left||,,,,,,,,,,,,,,,,,
w427893537,"427893537",way,,,,primary,"5",30 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",yes,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,"3",both,,,,,,,,"2",,left||,,,,,,,,,,,,,,,,,,
w427893538,"427893538",way,,,,primary,"4",35 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",yes,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w427900354,"427900354",way,,,,primary,"5",30 mph,Northeast 145th Street,no,,A31,"King, WA",no,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,"2",,,,,,,,,"3",,,"left|left;through|right",,,,,,,,,,,,,,,,,
w428014761,"428014761",way,,,,secondary,"5",35 mph,Northeast 124th Street,,asphalt,A41,"King, WA",,,,124th,,,,,,NE,,designated,lane,,,,"3",,,,,,,,,"2",,left||,,,,,,,,,,,,,,,,,,
w428014764,"428014764",way,,,,secondary,"5",35 mph,Northeast 124th Street,,asphalt,A41,"King, WA",,,,124th,,,,,,NE,,designated,lane,,,,"2",,,,,,,,,"3",,,left||,,,,,,,,,,,,,,,,,
w428014773,"428014773",way,,,,secondary,"6",35 mph,Northeast 124th Street,,asphalt,A41,"King, WA",,,,124th,,,,,,NE,,designated,lane,,,,"2",,,,,,,,,"4",,,left|||right,,,,,,,,,,,,,,,,,
w428023446,"428023446",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428056671,"428056671",way,,,,primary,,45 mph,International Boulevard,,,,,,,,,,,,,WA 99,,,,,,,,,,,State Route 99,,,,"WA 99 (Old US 99;PSH 1)",,,,,,,,,,,,,,,,,,,,,,
w428056672,"428056672",way,,,,primary,"5",45 mph,International Boulevard,,asphalt,,,,,,,,,,,WA 99,,,,,,,,"2",,,State Route 99,,,,"WA 99 (Old US 99;PSH 1)",,"3",,,left||,,,,,,,,,,,,,,,,,
w428056673,"428056673",way,,,,primary,"6",45 mph,International Boulevard,,,,,,,,,,,,,WA 99,,,,,,,,"4",,,Pacific Highway South,yes,"1",State Route 99,"US 99;PSH 1",,"2",,left|||,,,,,,,,,,,,,,,,,,
w428062705,"428062705",way,,,,secondary,"3",35 mph,Des Moines Memorial Drive South,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,"2",,,left|,,,,,,,,,,,,,,,,,
w428062706,"428062706",way,,,,secondary,"3",,Des Moines Memorial Drive South,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,"1",,left|,,,,,,,,,,,,,,,,,,
w428062707,"428062707",way,,,,secondary,"3",,Des Moines Memorial Drive South,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,"1",,|right,,,,,,,,,,,,,,,,,,
w428062708,"428062708",way,,,,secondary,"2",35 mph,Des Moines Memorial Drive South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428065440,"428065440",way,,,,primary,"2",40 mph,148th Avenue Northeast,yes,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
