,0
1387,35121
1388,37797
1389,35296
1390,19374
1391,69210
1392,11273
1393,54591
1394,19954
1395,14008
1396,16219
1397,25068
1398,61748
1399,11368
1400,14922
1401,43025
1402,20486
1403,47572
1404,33903
1405,13720
1406,41009
1407,34355
1408,9929
1409,44329
1410,50772
1411,24228
1412,33227
1413,33984
1414,17322
1415,40859
1416,23102
1417,56693
1418,4903
1419,34382
1420,26235
1421,22826
1422,35697
1423,40963
1424,18164
1425,4537
1426,11120
1427,3644
1428,41109
1429,20983
1430,40500
1431,24185
1432,24623
1433,8959
1434,37243
1435,9170
1436,4175
1437,34432
1438,31129
1439,28434
1440,27276
1441,8677
1442,45029
1443,10357
1444,2639
1445,19363
1446,38034
1447,15604
1448,13621
1449,4175
1450,34203
1451,27378
1452,23807
1453,16390
1454,11963
1455,33902
1456,33836
1457,19084
1458,10115
1459,6291
1460,23332
1461,22860
1462,21665
1463,26139
1464,59210
1465,7680
1466,38673
1467,34496
1468,25823
1469,19805
1470,5514
1471,67911
1472,4630
1473,25231
1474,17772
1475,43428
1476,17842
1477,10229
1478,13963
1479,33150
1480,41981
1481,24657
1482,21830
1483,11552
1484,25069
1485,23187
1486,25709
1487,43831
1488,71141
1489,33676
1490,10502
1491,16389
1492,9933
1493,25786
1494,43776
1495,36771
1496,19894
1497,33063
1498,34966
1499,42228
1500,54958
1501,14831
1502,37826
1503,19434
1504,32488
1505,28539
1506,27285
1507,29654
1508,8192
1509,16839
1510,22405
1511,18356
1512,8875
1513,24037
1514,16031
1515,45405
1516,18141
1517,18628
1518,14920
1519,19259
1520,31727
1521,12720
1522,6389
1523,16301
1524,34363
1525,43426
1526,45552
1527,32587
1528,43259
1529,20629
1530,5581
1531,9987
1532,10640
1533,8145
1534,14488
1535,35267
1536,6256
1537,15485
1538,26164
1539,23737
1540,38170
1541,4980
1542,23975
1543,20401
1544,15442
1545,26510
1546,27545
1547,13621
1548,47766
1549,20427
1550,20427
1551,28686
1552,28786
1553,33449
1554,41359
1555,9532
1556,7552
1557,9518
1558,28220
1559,1280
1560,9632
1561,32170
1562,6527
1563,34951
1564,34951
1565,11825
1566,18056
1567,13836
1568,9221
1569,22540
1570,18813
1571,31682
1572,8528
1573,38938
1574,21074
1575,25928
1576,33995
1577,40054
1578,10815
1579,27361
1580,31735
1581,45103
1582,32651
1583,30077
1584,18286
1585,41511
1586,37344
1587,25024
1588,40877
1589,29600
1590,18809
1591,29193
1592,24488
1593,22995
1594,25033
1595,45043
1596,8849
1597,20371
1598,24768
1599,34812
1600,40005
1601,29370
1602,20747
1603,13942
1604,46649
1605,4604
1606,38861
1607,26377
1608,42774
1609,52807
1610,35645
1611,32128
1612,13233
1613,53318
1614,32002
1615,35742
1616,33174
1617,9064
1618,31308
1619,41214
1620,2920
1621,43985
1622,26330
1623,29121
1624,32552
1625,26086
1626,22186
1627,22558
1628,34244
1629,34709
1630,6778
1631,15822
1632,14944
1633,12080
1634,25338
1635,11456
1636,22238
1637,27976
1638,22048
1639,18165
1640,17653
1641,8584
1642,20917
1643,22066
1644,36032
1645,34760
1646,26217
1647,28729
1648,7513
1649,45527
1650,35901
1651,34844
1652,32663
1653,20036
1654,26029
1655,48965
1656,47635
1657,35526
1658,17565
1659,5060
1660,28485
1661,31966
1662,13970
1663,10359
1664,35342
1665,39279
1666,48646
1667,28127
1668,36798
1669,47804
1670,33239
1671,21830
1672,28541
1673,55556
1674,33169
1675,33051
1676,33051
1677,9678
1678,18927
1679,7988
1680,13917
1681,34411
1682,7073
1683,14946
1684,16133
1685,29317
1686,16602
1687,23261
1688,15065
1689,36509
1690,10045
1691,55233
1692,6701
1693,12120
1694,12692
1695,11580
1696,40945
1697,18633
1698,19552
1699,51615
1700,5158
1701,13483
1702,26359
1703,49957
1704,8253
1705,38590
1706,52333
1707,17207
1708,32585
1709,19941
1710,57220
1711,58789
1712,37097
1713,13597
1714,37780
1715,5353
1716,19465
1717,13148
1718,15988
1719,63877
1720,33784
1721,47193
1722,18960
1723,59683
1724,20161
1725,4560
1726,4627
1727,5299
1728,13787
1729,28192
1730,31431
1731,36622
1732,21245
1733,17963
1734,28930
1735,18908
1736,22253
1737,22992
1738,13743
1739,22433
1740,19329
1741,27513
1742,30274
1743,38846
1744,6235
1745,39116
1746,19588
1747,16746
1748,10651
1749,31547
1750,23023
1751,19167
1752,39789
1753,42634
1754,24404
1755,27135
1756,10500
1757,45792
1758,8825
1759,4673
1760,31774
1761,27958
1762,31536
1763,16646
1764,20681
1765,39418
1766,12800
1767,1341
1768,18001
1769,5353
1770,12110
1771,29036
1772,38713
1773,6954
1774,44146
1775,10458
1776,68367
1777,13818
1778,10595
1779,38309
1780,12231
1781,21589
1782,25258
1783,18995
1784,29209
1785,23729
1786,23839
1787,30797
1788,7714
1789,24764
1790,48232
1791,32323
1792,27024
1793,12302
1794,56788
1795,47309
1796,35216
1797,25685
1798,18098
1799,49555
1800,3489
1801,46757
1802,60272
1803,29658
1804,39885
1805,3697
1806,16007
1807,35402
1808,40579
1809,23571
1810,46518
1811,18612
1812,33165
1813,11278
1814,51853
1815,5425
1816,16696
1817,22060
1818,66157
1819,16728
1820,23635
1821,23241
1822,35250
1823,25371
1824,47500
1825,43204
1826,47682
1827,20693
1828,10364
1829,15091
1830,13038
1831,12776
1832,35541
1833,21051
1834,13601
1835,40462
1836,46469
1837,4434
1838,32404
1839,31647
1840,42850
1841,28457
1842,40074
1843,8650
1844,33277
1845,34290
1846,71251
1847,19827
1848,16375
1849,26299
1850,7013
1851,17223
1852,6948
1853,27321
1854,19095
1855,33363
1856,28560
1857,33935
1858,23181
1859,12668
1860,8964
1861,22494
1862,14632
1863,38239
1864,33130
1865,5627
1866,22208
1867,3695
1868,21356
1869,18841
1870,13992
1871,28454
1872,46530
1873,49196
1874,43396
1875,36460
1876,34636
1877,15579
1878,11472
1879,5120
1880,32383
1881,65206
1882,22841
1883,31197
1884,45079
1885,16221
1886,6953
1887,15221
1888,17651
1889,32495
1890,21678
1891,62417
1892,42150
1893,4243
1894,40964
1895,24300
1896,17726
1897,11243
1898,7598
1899,46115
1900,26290
1901,10787
1902,25796
1903,36072
1904,20355
1905,32697
1906,55678
1907,34277
